date,floor,garage,image_urls,images,link,m2,off,price,rooms,title
05-11-2018,3ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/14/30/bf/608355672.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/14/30/bf/608355672.jpg', 'path': 'full/56db058e452b1593713a0df0e3090ea3868d08e1.jpg', 'checksum': '763f2ba51785a120d75896a0d5ee07fc'}]",https://www.idealista.com/inmueble/40151740/,192,0,1050000,5,"Piso en calle de Freixa, Sant Gervasi - Galvany, Barcelona"
05-11-2018,2ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/ba/5d/9f/607722896.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/ba/5d/9f/607722896.jpg', 'path': 'full/f7b20a7478181b18e6bc9941057fcdd6074ef90a.jpg', 'checksum': 'ffbe5241d3b510ebe5bf5b531da5f982'}]",https://www.idealista.com/inmueble/82927062/,115,0,549000,4,"Piso en Vila de Gràcia, Barcelona"
05-11-2018,5ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/53/1b/35/602128316.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/53/1b/35/602128316.jpg', 'path': 'full/ad8704bc999294be0d54346803ae4d5ce5fb6c1e.jpg', 'checksum': 'bc72d126780966a1a04138149ebf8af5'}]",https://www.idealista.com/inmueble/81992823/,120,0,380000,3,"Piso en calle del Regomir, Barcelona, El Gòtic, Barcelona"
05-11-2018,1ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/6b/8e/c1/269308341.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/6b/8e/c1/269308341.jpg', 'path': 'full/54c48745ee9e4a90d7b04a38cfe88b93bbec83b6.jpg', 'checksum': 'cd63307c522878596f5a7d1b51ddef54'}]",https://www.idealista.com/inmueble/39921265/,120,0,475000,4,"Piso en calle de sant guillem, El Putxet i el Farró, Barcelona"
05-11-2018,,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/02/06/0c/285676206.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/02/06/0c/285676206.jpg', 'path': 'full/98d232374728a9c900f3d8cd0b1e6583fc749b11.jpg', 'checksum': '721c608938707ad4e84a8105746bace6'}]",https://www.idealista.com/inmueble/40578221/,60,0,285000,3,"Ático en La Sagrada Família, Barcelona"
05-11-2018,3ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/2f/0c/b5/607282774.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/2f/0c/b5/607282774.jpg', 'path': 'full/c5dc55ce83d9996839190e2f9b54b415d5400aea.jpg', 'checksum': 'ae10e4df39ef7f32577413be188ce075'}]",https://www.idealista.com/inmueble/82902713/,32,0,169000,1,"Piso en riera Baixa, Barcelona, El Raval, Barcelona"
05-11-2018,4ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/a7/ec/f8/606442788.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/a7/ec/f8/606442788.jpg', 'path': 'full/56f7c6a6daa36fa6380964c9279a38ec4c746a7a.jpg', 'checksum': 'd92527d0a177a24a991d64f93dc50036'}]",https://www.idealista.com/inmueble/82855573/,110,0,449000,4,"Piso en avenida del Príncep d'Astúries, Barcelona, El Putxet i el Farró, Barcelona"
05-11-2018,,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/0b/c2/92/605336108.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/0b/c2/92/605336108.jpg', 'path': 'full/b854e8484d8b441d9e7fea204796df99be75456a.jpg', 'checksum': '7853e144622e0ec92f3017938a40decc'}]",https://www.idealista.com/inmueble/82804317/,210,0,1100000,5,"Piso en calle Gran de Gràcia, Vila de Gràcia, Barcelona"
05-11-2018,3ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/9e/a2/87/603813177.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/9e/a2/87/603813177.jpg', 'path': 'full/bf0658837d9fd144fd13280796eaa8c4dddab920.jpg', 'checksum': '5bab93e195c8d25d13ae7fdfc518f83f'}]",https://www.idealista.com/inmueble/82741631/,101,0,415000,3,"Piso en calle de les Guilleries, Barcelona, Vila de Gràcia, Barcelona"
05-11-2018,4ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/3b/10/38/602406490.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/3b/10/38/602406490.jpg', 'path': 'full/a04501d3784767668aef2e1c38793a870ccb0267.jpg', 'checksum': '6c50ffcf3de9d3a9099982eab332b8dc'}]",https://www.idealista.com/inmueble/82672198/,220,0,990000,6,"Piso en calle del Bruc, Barcelona, La Dreta de l'Eixample, Barcelona"
